#         t         Lx         Ly         Lz
     10.386     -0.099     -0.033     -0.081
     10.400     -0.179     -0.124     -0.081
     10.414     -0.176      0.017      0.025
     10.429      0.106     -0.070      0.079
     10.443      0.035     -0.049     -0.054
     10.457      0.001     -0.156     -0.006
     10.471     -0.069      0.010      0.060
     10.486     -0.119     -0.089      0.000
     10.500      0.077     -0.050      0.039
     10.514     -0.146     -0.097      0.030
     10.529     -0.102      0.033      0.066
     10.543     -0.072     -0.021      0.019
     10.557     -0.041      0.031     -0.099
     10.571     -0.141      0.029     -0.054
     10.586     -0.010      0.078      0.034
     10.600      0.025      0.019     -0.029
     10.614     -0.002      0.021     -0.188
     10.629     -0.015     -0.200     -0.123
     10.643      0.079     -0.002     -0.033
     10.657      0.006      0.024     -0.026
     10.671     -0.040     -0.076      0.007
     10.686     -0.061      0.112     -0.003
     10.700     -0.026     -0.083      0.030
     10.714      0.006     -0.048     -0.113
     10.729     -0.069      0.051      0.207
